CO/STATE,RECORDED,DATE,GRANTOR,Address,CITY,GRANTEE,PRICE,TYPE,BUILT,LAND AC,IMP SF,UNITS,LAND SF,$/SF IMP,$/UNIT IMP,$/SF LAND,GARAGE,CAP RATE,NOI,EXP,EGI,OCCUP,Corner Y/N,Reg Site shape,Utilities,Location,Quality,Condition,Description,Comments
DO-CO,2016065618,9/17/2016,Wooly Thyme LLC (Alberta Dev),4989 Factory Shops Blvd,Castle Rock,Castle Rock Real Property & Investments,6030000,Ret,2015,1.36,10113,,59372,596.2622367,#DIV/0!,101.5625474,0,0.0625,377070,,,1.0000,Y,Y,Y,3,3,3,ST ret,Strip retail shadow to factory outlets.
DO-CO,2016067122,9/23/2016,NNP II Stonegate LLC,SWC Aventura Pkwy & Jordan Rd,Parker,Meritage Homes of Colorado Inc.,4030000,Lnd,0,11.23,0,62,489179,#DIV/0!,65000,8.238296508,0,,,,0,1.0000,Y,Y,Y,2,2,2,SF land,"62 finished lots 7,583-8,243 Sf avg."
DO-CO,2016067662,9/22/2016,RMIP Dumont LLC,12415 Dumont Dr,Littleton,Hess Exchange LLC,3350000,Ind,2000,2.42,29100,,105415,115.1202749,#DIV/0!,31.77909827,0,0.0890,298275,77115,375390,1.0000,Y,Y,Y,2,2,2,Mt ind,"Metal whse, new leases $10.50-11 Sf nnn."
DO-CO,2016077487,10/27/2016,BTS Hess AA LLC,12332 S Parker Rd,Parker,Downey Places Ave LLC,2800000,Ret,2016,0.67,6912,,29316,405.0925926,#DIV/0!,95.51098376,0,0.0500,139968,0,139968,1.0000,Y,Y,Y,3,3,3,Advance Auto,ST NNN lease $20.25 SF rent.
DO-CO,2016072699,10/11/2016,314 North Wilcox Ave,314 Wilcox St,Castle Rock,Milestone Properties LLC,975000,Off,1948/13,0.07,5198,,3125,187.5721431,#DIV/0!,312,0,,,,,1.0000,Y,Y,Y,2,2,3,MT off,2 story updated building fully leased.
DO-CO,2016071989,9/30/2017,L&L One LLC,12155 Lioness Way,Parker,Centre Point Properties,1720000,Ret,2006,1.13,5872,,49005,292.9155313,#DIV/0!,35.09845934,0,,,,,1.0000,Y,Y,Y,3,3,3,MT ret,ST NNN lease $20.25 SF rent.
DO-CO,2016075534,10/21/2016,Brandon Partnership LLC,8181 W Brandon Dr,Littleton,8181 West Brandon LLC,1400000,Ind,1997,1.02,8090,,44301,173.053152,#DIV/0!,31.60233785,0,,,,,1.0000,Y,Y,Y,2,2,2,St ind,"Metal whse, new leases $10.50-11 Sf nnn."
DO-CO,2016062538,9/6/2016,Lincoln Parker Auto LLC,NWC Lincoln Ave & Ponderosa Dr,Parker,18225 Ponderosa Drive LLC,1280000,Lnd,0,3.03,0,,131987,#DIV/0!,#DIV/0!,9.697939491,0,,,,,1.0000,N,Y,Y,2,2,2,Rausch Motors,Plan Bobby Rahal Auto dealership.
DO-CO,2016073541,10/13/2016,William L Dell,12420 Dumont Dr,Littleton,Eden Innovations LLC,1170000,Ind,1985,0.58,12304,,25091,95.09102731,#DIV/0!,46.63026583,0,0.1078,126116,32606,158722,1.0000,Y,Y,Y,2,2,2,Mt ind,"Metal whse, new leases $10.50-11 Sf nnn."
DO-CO,2016074458,12/19/2016,Ridgegate Investments Inc,NWC Bellwether Ln & Sky Ridge Ave,Lone Tree,BH Urban Villas LLC,1080000,Lnd,0,1.80,0,18,78277,#DIV/0!,60000,13.79709985,0,,,,0,1.0000,Y,Y,Y,2,2,2,SF land,"18 finished lots 4,223 Sf avg plus 1.02 AC open space."
DO-CO,20161078050,10/28/2016,The Brennan Living tr,703 Wilcox St,Castle Rock,Normas Heritage,1880000,Off,1988,0.58,13450,,25265,139.7769517,#DIV/0!,74.41124085,0,0.0767,144239,,,1.0000,Y,Y,Y,2,2,3,Mt Ret,"Facia, roof and grease traps replaced.  7,000 SF bsmt inc."
JE-CO,2016115522,10/29/2016,Rocky Mountain Capital Group LLC,15530 W 64th Ave,Arvada,GKT Westwoods II LLC,18850000,Ret,2007,6.59,79850,,287060,236.0676268,#DIV/0!,65.66562298,,,,,,0.9700,Y,Y,Y,2,3,3,"Ace, Prestige Fit",Shadow strip to King Soopers.
JE-CO,2016105967,10/13/2016,Arvada Residential Partners LLC,NEC W 93rd Pl & Blanca St,Arvada,Tri Point Homes Inc,6670000,Lnd,0,11.50,0,62,500940,#DIV/0!,107580.6452,13.31496786,0,,,,0,1.0000,Y,Y,Y,2,2,2,SF land,62 finished lots in Candelas.
JE-CO,2016106544,10/14/2016,The Stanley E Howell Tr,1605 Sheridan Blvd,Lakewood,1605 Sheridan Boulevard LLC,2030000,Lnd,0,2.04,0,42,88862,#DIV/0!,48333.33333,22.8443076,0,,,,0,1.0000,Y,Y,Y,2,2,2,SF land,42 platted lots for townhomes.
